ID,Name,Address,lat,lng,,,open,close,open_time_min,close_time_min,,time_to_spend
9999999,京都駅,京都市下京区東塩小路釜殿町,34.980983,135.7548363,530,2359,5:30:00,23:59:00,330,1439,0,0
1000002,慈照寺（銀閣寺）銀閣,京都市左京区銀閣寺町2,35.0268641,135.7982694,830,1700,8:30:00,17:00:00,510,1020,40,40
1000003,銀閣寺（慈照寺）東求堂,京都市左京区銀閣寺町2,35.0268641,135.7982694,830,1700,8:30:00,17:00:00,510,1020,40,40
1000010,下鴨神社（賀茂御祖神社）東本殿西本殿,京都市左京区下鴨泉川町59,35.0348825,135.7719052,630,1700,6:30:00,17:00:00,390,1020,30,30
1000017,東福寺三門,本町15丁目778,34.9770966,135.7741057,900,1600,9:00:00,16:00:00,540,960,20,20
1000025,南禅寺方丈,京都市左京区南禅寺福地町,35.010271,135.7917992,840,1700,8:40:00,17:00:00,520,1020,,33
1000040,八坂神社本殿,京都市東山区祇園町北側125,35.0041809,135.7778706,900,1600,9:00:00,16:00:00,540,960,,33
1000043,建仁寺方丈,東山区大和大路通四条下る４丁目小松町584番地,35.0004553,135.7736387,1000,1600,10:00:00,16:00:00,600,960,,33
1000062,法金剛院木造阿弥陀如来坐像（重文）,花園扇野町49,35.0191409,135.7156951,900,1600,9:00:00,16:00:00,540,960,30,30
1000074,三千院木造阿弥陀如来両脇士坐像,京都市左京区大原来迎院町540,35.119391,135.8347406,900,1730,9:00:00,17:30:00,540,1050,50,50
1000098,法金剛院木造厨子入十一面観音坐像,花園扇野町49,35.0191409,135.7156951,900,1600,9:00:00,16:00:00,540,960,30,30
1000170,金光寺紙本著色遊行上人絵巻,下京区六条通河原町西入本塩竃町586,34.9939611,135.7643718,930,1700,9:30:00,17:00:00,570,1020,60,60
1000151,安養寺木造阿弥陀如来像,中京区新京極通蛸薬師東南角東側町511,35.0057691,135.7673342,1000,1600,10:00:00,16:00:00,600,960,10,10
1000152,雨宝院木造千手観音立像,上京区智恵光院通上立売上る聖天町9-3,35.0325376,135.7464544,900,1700,9:00:00,17:00:00,540,1020,25,25
1000153,北野天満宮北野天神縁起絵巻,上京区御前通今小路上る馬喰町,35.0299253,135.735813,900,1600,9:00:00,16:00:00,540,960,20,20
1000183,仁和寺医心方,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,30,30
1000155,西芳寺絹本著色夢窓国師像,西京区松尾神ヶ谷町56,34.9919863,135.6832563,900,1600,9:00:00,16:00:00,540,960,20,20
1000156,三福寺地蔵菩薩像,左京区仁王門通新高倉東入正往寺町463,35.0131573,135.7771854,900,1600,9:00:00,16:00:00,540,960,20,20
1000158,相国寺絹本著色十六羅漢図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60
1000159,相国寺絹本著色鳴鶴図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60
1000160,相国寺絹本墨画淡彩鳳凰図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60
1000161,相国寺紙本墨画竹林猿猴図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60
1000169,京都国立博物館所蔵ロダン作銅造考える人,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000162,相国寺紙本墨画山水図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60
1000163,相国寺無学祖元墨蹟,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358,1000,1700,10:00:00,17:00:00,600,1020,60,60
1000165,善想寺石仏阿弥陀如来,中京区六角通大宮西入三条大宮町240,35.0071358,135.748141,1000,1700,10:00:00,17:00:00,600,1020,15,15
1000166,善想寺地蔵菩薩像,中京区六角通大宮西入三条大宮町240,35.0071358,135.748141,900,1700,9:00:00,17:00:00,540,1020,30,30
1000168,愛宕念仏寺木造千観内供坐像,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000171,崇道神社金銅小野毛人墓誌,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000172,地蔵院木造地蔵菩薩坐像,右京区花園扇野町49,35.0191409,135.7156951,930,1700,9:30:00,17:00:00,570,1020,60,60
1000173,清浄華院絹本著色阿弥陀三尊像,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000174,清浄華院紙本著色泣不動縁起,東山区茶屋町527,34.9894576,135.7723706,930,1700,9:30:00,17:00:00,570,1020,60,60
1000175,真正極楽寺絹本著色普賢菩薩像,左京区浄土寺真如町82,35.0220237,135.7883723,900,1600,9:00:00,16:00:00,540,960,40,40
1000180,狸谷山不動院不動明王像,左京区一乗寺松原町6,35.042518,135.7993949,900,1600,9:00:00,16:00:00,540,960,60,60
1000182,天授庵絹本著色細川幽斎像同夫人像,左京区南禅寺福地町,35.010271,135.7917992,900,1700,9:00:00,17:00:00,540,1020,30,30
1000184,仁和寺絹本著色孔雀明王像,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20
1000185,仁和寺黄帝内経明堂・黄帝内経太素,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20
1000186,仁和寺三十帖冊子,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20
1000187,仁和寺新修本草,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20
1000188,仁和寺宝相華蒔絵宝珠箱,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20
1000189,仁和寺木造阿弥陀如来及両脇侍像,右京区御室大内33,35.0293057,135.7142433,900,1700,9:00:00,17:00:00,540,1020,20,20
1000196,峰定寺木造釈迦如来立像,左京区花背原地町772,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30
1000197,峰定寺木造十一面千手観音坐像,左京区花背原地町772,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30
1000198,峰定寺木造毘沙門天立像,左京区花背原地町772,35.1584607,135.7861724,900,1600,9:00:00,16:00:00,540,960,30,30
