ID,0,1,2,3,4
0,1000002.0,慈照寺（銀閣寺）　銀閣,京都市左京区銀閣寺町2,35.0268641,135.7982694
1,1000003.0,銀閣寺（慈照寺）　東求堂,京都市左京区銀閣寺町2,35.0268641,135.7982694
2,1000004.0,清水寺　本堂,京都市東山区清水一丁目294,34.9949622,135.7843343
3,1000010.0,下鴨神社（賀茂御祖神社）東本殿　西本殿,京都市左京区下鴨泉川町59,35.0348825,135.7719052
4,1000013.0,大徳寺　山門（三門）,京都市北区紫野大徳寺町,35.0435884,135.7432148
5,1000015.0,知恩院　大方丈,東山区林下町400,35.0061608,135.783806
6,1000016.0,知恩院　小方丈,東山区林下町400,35.0061608,135.783806
7,1000017.0,東福寺　三門,本町15丁目778,34.9770966,135.7741057
8,1000018.0,東福寺　東司,本町15丁目778,34.9770966,135.7741057
9,1000019.0,東福寺　浴室,本町15丁目778,34.9770966,135.7741057
10,1000025.0,南禅寺　方丈,京都市左京区南禅寺福地町,35.010271,135.7917992
11,1000039.0,八坂神社　西楼門,京都市東山区祇園町北側125,35.0041809,135.7778706
12,1000040.0,八坂神社　本殿,京都市東山区祇園町北側125,35.0041809,135.7778706
13,1000043.0,建仁寺　方丈,東山区大和大路通四条下る４丁目小松町584番地,35.0004553,135.7736387
14,1000052.0,大徳寺　法堂,京都市北区紫野大徳寺町,35.0435884,135.7432148
15,1000056.0,東福寺　禅堂,本町15丁目778,34.9770966,135.7741057
16,1000062.0,法金剛院　木造阿弥陀如来坐像（重文）,花園扇野町49,35.0191409,135.7156951
17,1000064.0,安楽寿院　木造阿弥陀如来坐像,京都市伏見区竹田中内畑町74,34.9525862,135.7548079
18,1000074.0,三千院　木造阿弥陀如来両脇士坐像,京都市左京区大原来迎院町540,35.119391,135.8347406
19,1000076.0,真如堂（真正極楽寺）　木造阿弥陀如来立像,浄土寺真如町82,35.0220237,135.7883723
20,1000082.0,大徳寺　勅使門,京都市北区紫野大徳寺町52,35.0443414,135.7464294
21,1000098.0,法金剛院　木造厨子入十一面観音坐像,花園扇野町49,35.0191409,135.7156951
22,1000170.0,金光寺　紙本著色遊行上人絵巻,下京区六条通河原町西入本塩竃町586,34.9939611,135.7643718
23,1000150.0,愛染院　木造十一面観音立像,左京区岩倉幡枝町1035,35.0632859,135.7745501
24,1000151.0,安養寺　木造阿弥陀如来像,中京区新京極通蛸薬師東南角東側町511,35.00576909999999,135.7673342
25,1000152.0,雨宝院　木造千手観音立像,上京区智恵光院通上立売上る聖天町9-3,35.0325376,135.7464544
26,1000153.0,北野天満宮　北野天神縁起絵巻,上京区御前通今小路上る馬喰町,35.0299253,135.735813
27,1000183.0,仁和寺　医心方,右京区御室大内33,35.0293057,135.7142433
28,1000155.0,西芳寺　絹本著色夢窓国師像,西京区松尾神ヶ谷町56,34.9919863,135.6832563
29,1000156.0,三福寺　地蔵菩薩像,左京区仁王門通新高倉東入正往寺町463,35.0131573,135.7771854
30,1000158.0,相国寺　絹本著色十六羅漢図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358
31,1000159.0,相国寺　絹本著色鳴鶴図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358
32,1000160.0,相国寺　絹本墨画淡彩鳳凰図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358
33,1000161.0,相国寺　紙本墨画竹林猿猴図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358
34,1000169.0,京都国立博物館所蔵　ロダン作銅造考える人,東山区茶屋町527,34.9894576,135.7723706
35,1000162.0,相国寺　紙本墨画山水図,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358
36,1000163.0,相国寺　無学祖元墨蹟,上京区今出川通烏丸東入相国寺門前町701,35.0322453,135.7602358
37,1000164.0,新徳寺　地蔵菩薩像,中京区壬生賀陽御所町48,35.0019758,135.7446861
38,1000165.0,善想寺　　石仏阿弥陀如来,中京区六角通大宮西入三条大宮町240,35.0071358,135.748141
39,1000166.0,善想寺　地蔵菩薩像,中京区六角通大宮西入三条大宮町240,35.0071358,135.748141
40,1000168.0,愛宕念仏寺　木造千観内供坐像,東山区茶屋町527,34.9894576,135.7723706
41,1000171.0,崇道神社　金銅小野毛人墓誌,東山区茶屋町527,34.9894576,135.7723706
42,1000172.0,地蔵院　木造地蔵菩薩坐像,右京区花園扇野町49,35.0191409,135.7156951
43,1000173.0,清浄華院　絹本著色阿弥陀三尊像,東山区茶屋町527,34.9894576,135.7723706
44,1000174.0,清浄華院　紙本著色泣不動縁起,東山区茶屋町527,34.9894576,135.7723706
