ID,Name,Address
1000002,慈照寺（銀閣寺）　銀閣,京都市左京区銀閣寺町2
1000003,銀閣寺（慈照寺）　東求堂,京都市左京区銀閣寺町2
1000004,清水寺　本堂,京都市東山区清水一丁目294
1000010,下鴨神社（賀茂御祖神社）東本殿　西本殿,京都市左京区下鴨泉川町59
1000013,大徳寺　山門（三門）,京都市北区紫野大徳寺町
1000015,知恩院　大方丈,東山区林下町400
1000016,知恩院　小方丈,東山区林下町400
1000017,東福寺　三門,本町15丁目778
1000018,東福寺　東司,本町15丁目778
1000019,東福寺　浴室,本町15丁目778
1000025,南禅寺　方丈,京都市左京区南禅寺福地町
1000039,八坂神社　西楼門,京都市東山区祇園町北側125
1000040,八坂神社　本殿,京都市東山区祇園町北側125
1000043,建仁寺　方丈,東山区大和大路通四条下る４丁目小松町584番地
1000052,大徳寺　法堂,京都市北区紫野大徳寺町
1000056,東福寺　禅堂,本町15丁目778
1000062,法金剛院　木造阿弥陀如来坐像（重文）,花園扇野町49
1000064,安楽寿院　木造阿弥陀如来坐像,京都市伏見区竹田中内畑町74
1000074,三千院　木造阿弥陀如来両脇士坐像,京都市左京区大原来迎院町540
1000076,真如堂（真正極楽寺）　木造阿弥陀如来立像,浄土寺真如町82
1000082,大徳寺　勅使門,京都市北区紫野大徳寺町52
1000098,法金剛院　木造厨子入十一面観音坐像,花園扇野町49
1000170,金光寺　紙本著色遊行上人絵巻,下京区六条通河原町西入本塩竃町586
1000150,愛染院　木造十一面観音立像,左京区岩倉幡枝町1035
1000151,安養寺　木造阿弥陀如来像,中京区新京極通蛸薬師東南角東側町511
1000152,雨宝院　木造千手観音立像,上京区智恵光院通上立売上る聖天町9-3
1000153,北野天満宮　北野天神縁起絵巻,上京区御前通今小路上る馬喰町
1000183,仁和寺　医心方,右京区御室大内33
1000155,西芳寺　絹本著色夢窓国師像,西京区松尾神ヶ谷町56
1000156,三福寺　地蔵菩薩像,左京区仁王門通新高倉東入正往寺町463
1000158,相国寺　絹本著色十六羅漢図,上京区今出川通烏丸東入相国寺門前町701
1000159,相国寺　絹本著色鳴鶴図,上京区今出川通烏丸東入相国寺門前町701
1000160,相国寺　絹本墨画淡彩鳳凰図,上京区今出川通烏丸東入相国寺門前町701
1000161,相国寺　紙本墨画竹林猿猴図,上京区今出川通烏丸東入相国寺門前町701
1000169,京都国立博物館所蔵　ロダン作銅造考える人,東山区茶屋町527
1000162,相国寺　紙本墨画山水図,上京区今出川通烏丸東入相国寺門前町701
1000163,相国寺　無学祖元墨蹟,上京区今出川通烏丸東入相国寺門前町701
1000164,新徳寺　地蔵菩薩像,中京区壬生賀陽御所町48
1000165,善想寺　　石仏阿弥陀如来,中京区六角通大宮西入三条大宮町240
1000166,善想寺　地蔵菩薩像,中京区六角通大宮西入三条大宮町240
1000168,愛宕念仏寺　木造千観内供坐像,東山区茶屋町527
1000171,崇道神社　金銅小野毛人墓誌,東山区茶屋町527
1000172,地蔵院　木造地蔵菩薩坐像,右京区花園扇野町49
1000173,清浄華院　絹本著色阿弥陀三尊像,東山区茶屋町527
1000174,清浄華院　紙本著色泣不動縁起,東山区茶屋町527
1000175,真正極楽寺　絹本著色普賢菩薩像,左京区浄土寺真如町82
1000176,真正極楽寺　紙本著色真如堂縁起,左京区浄土寺真如町82
1000177,真正極楽寺　法華経,左京区浄土寺真如町82
1000178,染殿院　木造地蔵菩薩立像,中京区新京極通四条上る中之町562
1000179,大興寺　木造薬師如来坐像,左京区浄土寺真如町17番地
1000180,狸谷山不動院　不動明王像,左京区一乗寺松原町6
1000181,長講堂　木造後白河法皇像,下京区富小路通五条下る本塩竃町528
1000182,天授庵　絹本著色細川幽斎像　同夫人像,左京区南禅寺福地町
1000184,仁和寺　絹本著色孔雀明王像,右京区御室大内33
1000185,仁和寺　黄帝内経明堂・黄帝内経太素,右京区御室大内33
1000186,仁和寺　三十帖冊子,右京区御室大内33
1000187,仁和寺　新修本草,右京区御室大内33
1000188,仁和寺　宝相華蒔絵宝珠箱,右京区御室大内33
1000189,仁和寺　木造阿弥陀如来及両脇侍像,右京区御室大内33
1000191,平等寺　木造釈迦如来立像,下京区松原通烏丸東入因幡堂町728
1000192,平等寺　木造如意輪観音坐像,下京区松原通烏丸東入因幡堂町728
1000193,平等寺　木造薬師如来立像,下京区松原通烏丸東入因幡堂町728
1000194,藤森神社　紫糸威大鎧,伏見区深草鳥居崎町609
1000195,峰定寺　木造金剛力士立像,左京区花背原地町772
1000196,峰定寺　木造釈迦如来立像,左京区花背原地町772
1000197,峰定寺　木造十一面千手観音坐像,左京区花背原地町772
1000198,峰定寺　木造毘沙門天立像,左京区花背原地町772
1000199,峰定寺　木造不動明王及二童子立像,左京区花背原地町722
1000200,補陀洛寺　小町老衰像,左京区静市市原町1140
1000201,補陀洛寺　三相変図,左京区静市市原町1140
1000202,佛光寺　木造聖徳太子立像,下京区高倉通仏光寺下る新開町397
1000203,南岩倉明王院不動寺　空海作「石像不動明王」,下京区松原通麩屋町東入石不動之町675
2000027,貴船神社の桂,左京区鞍馬貴船町180
2000028,桂春院のくろがねもち,花園妙心寺町
1000204,遍照寺　木造十一面観音立像,右京区嵯峨広沢西裏町14
1000205,法観寺　紙本著色八坂塔絵図,東山区茶屋町527
1000206,法金剛院　木造地蔵菩薩立像,右京区花園扇野町49
1000207,法金剛院　木造僧形文殊坐像,右京区花園扇野町49
1000208,法輪寺　木造持国天・多聞天立像,西京区嵐山虚空蔵山町
1000209,曼殊院　絹本著色不動明王像,東山区茶屋町527
1000210,曼殊院　古今和歌集,東山区茶屋町527
1000211,妙心寺　黄鐘調の鐘,右京区花園妙心寺町1
1000212,矢田寺　紙本著色矢田地蔵縁起,東山区茶屋町527
1000213,蓮光寺　駒止地蔵菩薩像,下京区富小路通六条下る本塩竃町534
1000214,蓮光寺　阿弥陀如来像,下京区富小路通六条下る本塩竃町534
1000215,廬山寺　絹本著色普賢十羅刹女像,上京区寺町通広小路上る北ノ辺町397
1000216,廬山寺　慈恵大師自筆遺告,上京区寺町通広小路上る北ノ辺町397
1000217,廬山寺　木造如意輪観音半跏像,上京区寺町通広小路上る北ノ辺町397
1000218,知恩院　濡髪大明神,東山区林下町400
2000001,嵐山・渡月橋畔の榎,京都市右京区嵯峨天龍寺芒ノ馬場町
2000002,一言寺の梅,醍醐南里町
2000003,新日吉神宮のおがたまのき,今熊野日吉町
2000004,今宮神社のむくろじ,紫野今宮町
2000005,永観堂の岩垣紅葉,浄土寺永観堂町48
2000008,大原野神社の椎,大原野春日町
2000009,大原野神社の樅,大原野春日町
2000031,護王神社のかりん,京都府京都市上京区小川通出水下る
2000011,御室桜,京都市右京区御室大内33
2000012,上賀茂神社のいちいがし,上賀茂本山町
2000013,上賀茂神社の椋,上賀茂本山340
2000014,賀茂社の紋幹の椎,上賀茂本山町
2000015,賀茂の枝垂桜,上賀茂本山
2000016,勧修寺のはいびゃくしん,山科勧修寺仁王堂町
2000017,北野天満宮、梅苑の大むく,京都府京都市上京区馬喰町
2000018,北野天満宮しらがしの森,京都府京都市上京区馬喰町
2000019,北野天満宮の大けやき,京都府京都市上京区馬喰町
2000020,北野天満宮の大椎,京都府京都市上京区馬喰町
2000021,北野天満宮の双幹鹿子の木,京都府京都市上京区馬喰町
2000022,北野天満宮東門の椋,京都府京都市上京区馬喰町
2000023,貴船神社奥宮相生大杉,鞍馬貴船町180
2000024,貴船神社奥宮の桂,鞍馬貴船町180
2000025,貴船神社奥宮の杉並木,鞍馬貴船町180
2000032,御香宮のおそらく椿,京都市伏見区御香宮門前町174
2000033,御香宮の蘇鉄,京都市伏見区御香宮門前町174
2000034,越畑の相生桜,京都府京都市右京区嵯峨越畑加鍋浦82
2000035,古知谷のかえで,大原古知平町
2000036,金地院裏のくろがねもち,南禅寺福地町
2000037,金地院の椎,南禅寺福地町
2000038,嵯峨・兒神社のつぶらしい,嵯峨釣殿町
2000039,嵯峨・曇華院の日光,嵯峨北堀町25
2000040,雑華院の老桧,花園妙心寺町55
2000041,三宝院の枝垂桜,醍醐伽藍町
2000042,慈照寺（銀閣寺）の椿垣,京都市左京区銀閣寺町2
2000055,善峯寺の遊龍の松,京都市西京区大原野小塩町1372
2000056,千本釈迦堂のくろがねもち,溝前町
2000043,慈照寺の千代の槙,京都市左京区銀閣寺町2
2000044,地蔵院（椿寺）五色八重散椿,大将軍西町41番地
2000045,十輪寺の大樟,大原野小塩町
2000046,青蓮院の大楠,粟田口三条坊町９
2000047,白峯神宮の小賀玉の木,今出川通堀川東入飛鳥井町
2000049,真如堂の大しゃしゃんぽ,京都市左京区浄土寺真如町82
2000050,真如堂の百日紅,京都市左京区浄土寺真如町82
2000051,真如堂の立皮桜,京都市左京区浄土寺真如町82
2000052,真如堂の花の木,京都市左京区浄土寺真如町82
2000053,真如堂の菩提樹,浄土寺真如町82
2000089,水火天満宮　菅公影向松,上京区堀川通上御霊前上る扇町722-10
2000057,総見院の胡蝶佗助,京都市北区紫野大徳寺町59
2000058,疏水岸の桜,山科四宮桝山町
2000062,大徳寺の柏槙,京都市北区紫野大徳寺町
2000063,対龍山荘のはぜのき,南禅寺福池町
2000066,糺の森の椎,下鴨宮崎町
2000067,糺の森の椋,下鴨宮崎町
2000068,知恩院参道のむくろじ,東山区林下町400
2000069,道風神社の榊,京都市北区杉阪道風町１
2000070,東北院のさざんか,浄土寺真如町
2000071,東北院の軒端の梅,浄土寺真如町
2000073,南禅寺の白檀,南禅寺福地町
2000074,本願寺の大銀杏,堀川花屋町下る
2000075,平岡八幡宮の椎,梅ケ畑宮ノ口町
2000076,平野神社の草花と樹木,平野宮本町
2000077,宝鏡寺の熊谷と月光と村娘,京都市上京区寺之内通堀川東入百々町547
2000078,宝泉院の五葉松,大原勝林院町187
2000079,法然院、北門の楓,京都市左京区鹿ケ谷
2000080,法然院の楓,京都市左京区鹿ケ谷
2000081,法然院の散椿,京都市左京区鹿ケ谷
2000082,法然院の椋,京都市左京区鹿ケ谷
2000084,妙蓮寺の妙蓮寺椿,寺之内大宮東妙蓮寺前町875
2000085,由岐神社の大杉,鞍馬本町
2000086,霊鑑寺の紅梅,鹿ケ谷御所の段町
2000087,霊鑑寺の日光椿,鹿ケ谷御所の段町
2000088,北野天満宮　影向松,上京区御前通今小路上る馬喰町
7000011,名勝　大沢池,右京区嵯峨大沢町４番地
7000012,大原御香水,左京区大原上野町
7000016,音羽の滝,東山区清水1丁目
7000023,亀の井,西京区嵐山宮町
7000028,京見峠,京都府北区鷹峯堂庭町
7000030,空也の滝,右京区嵯峨愛宕町
7000033,小町化粧水,山科区小野随心院内
7000036,祐の井,上京区京都御苑内
7000040,染井の水,上京区寺町通広小路上ル
7000041,醍醐水,伏見区醍醐東大路町
7000053,広沢池,右京区嵯峨広沢町
7000054,伏見の御香水,伏見区御香宮門前町
7000055,船岡山,北区紫野北舟岡町
7000056,遍照寺山,右京区北嵯峨朝原山町
7000060,深泥池,北区上賀茂深泥池町
7000063,吉田山,左京区吉田神楽岡町
7000064,知恩院　紫雲水,東山区林下町400
8000001,嵐山通船,南乗船場・京都市西京区嵐山山中町/北乗船場・京都市右京区嵯峨天竜寺芒ノ馬場町
8000008,京の夏の旅,京都市左京区岡崎最勝寺町13　京都会館内
1.00E+07,清水寺　狛犬,東山区清水1丁目294
8000018,姉妹都市,京都市中京区寺町通御池上る上本能寺前町488
8000022,知恩院七不思議,東山区林下町400
8000026,嵯峨野トロッコ列車,京都市右京区嵯峨天龍寺車道町
8000031,叡山ケーブル,上高野東山12
8000039,保津川下り,亀岡市保津町下中島１
1.00E+07,北野天満宮　神使,上京区御前通今小路上る馬喰町
8000052,ポルタ,下京区烏丸通塩小路下ル
8000053,京都サンガF.C.,京都府城陽市久世上大谷89-1
8000054,京都市交響楽団,京都市北区出雲路立本町103
8000057,大原温泉,左京区大原草生町18
8000058,嵐山温泉,西京区嵐山上河原町1番2
1.00E+07,愛宕社＜大豊神社＞　狛鳶,左京区鹿ケ谷宮ノ前町1
1.00E+07,稲荷社＜大豊神社＞　狛きつね,左京区鹿ケ谷宮ノ前町1
1.00E+07,新日吉神宮　狛猿,東山区妙法院前側町451-1
1.00E+07,菅大臣神社　狛犬,下京区仏光寺通新町西入
1.00E+07,北野天満宮　狛犬　その一,上京区御前通今小路上る馬喰町
1.00E+07,北野天満宮　狛犬　その二,上京区御前通今小路上る馬喰町
1.00E+07,護王神社　猪,上京区烏丸通下長者町下る桜鶴円町
1.00E+07,禅居庵　摩利支天堂,東山区大和大路通四条下る4丁目小松町146
1.00E+07,大国社＜大豊神社＞　狛ねずみ,左京区鹿ケ谷宮ノ前町1
1.00E+07,日吉社＜大豊神社＞　狛猿,左京区鹿ケ谷宮ノ前町1
1.00E+07,伏見稲荷大社　眷属像,伏見区深草薮之内町68
1.00E+07,法輪寺＜西京区＞　牛,西京区嵐山虚空蔵山町16
1.00E+07,法輪寺＜西京区＞　虎,西京区嵐山虚空蔵山町16
1.00E+07,三宅八幡宮　鳩,左京区上高野三宅町22
1.00E+07,安井金比羅宮　狛犬,東山区東大路通松原上る下弁天町70
1.00E+07,大原野神社　神鹿,西京区大原野南春日町1152
1.10E+07,御堂ヶ池1号墳,右京区鳴滝音戸山町12-1
1.10E+07,甲塚古墳,右京区嵯峨甲塚町18-2
1.10E+07,嵯峨七ッ塚古墳,右京区北嵯峨洞ノ内町付近
1.10E+07,天皇の杜古墳,西京区御陵塚ノ越町
1.10E+07,福西古墳7号墳及び10号墳,西京区大枝北福西町4-2
1.10E+07,蛇塚古墳,右京区太秦面影町
